Unnamed: 0,Customer Name,Review Rating,Review Title,Review Content,Product Name,polarity
30,Arpit,1.0 out of 5 stars,Dont buy.. after 10 to.15 mins gaming phone lagging too much,dont buy 10 to15 mins gaming phone lagging much,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",0.2
31,Ujjwal,5.0 out of 5 stars,Overall a good phone 👌,good phonedecent look looks stylishcamera battery quality super goodgood phone range delivery service good,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",0.5777777777777777
32,Sam singh,2.0 out of 5 stars,Not good,good phone stopped working time didnt suggest,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",0.7
33,PRABAHARAN,3.0 out of 5 stars,Just Read before buying. My opinion,product review usage 2 weekprosdesign built quality superbdisplay smoothness view impressivefinger print sensor face unlock working perfectrear camera good considering priceram management multitasking ok without new applications consuming 18 gbcall quality fineconsgaming mobile heating lagging playing high graphics gamebattery 5020mah battery moderate performfor charging take 24 hrs per day 0 100 think mi mentioned advertisementmacro camera useless featurefront camera averageui fine consuming rammany preinstalled application could able delete mi appfinalnormal user go ok charge twice dayif game addict product suitable younote requesting replacement 1st mobile due heating issuereceived 2nd one battery draining issue really disappointed charge twice day 5hrs per day suggest please buy brand dont waste money like,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",0.09920202020202024
34,Malik,2.0 out of 5 stars,Worst,worst product expected even month ut hangs much front camera worst first look good nothing else dont go redmi note 8 even note 5 much better completely disappointed,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",-0.15000000000000002
35,Sinan Ayoob,5.0 out of 5 stars,Loll !!  I am the first to review this 🤩👇,awesome product value money best segmentfor normal usage one best long battery life compared smartphonescamera ok pricecharging comparitively slow takes 2 2 half hrs get full charged overall best price,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",0.4075757575757576
36,Ansh satoeya,3.0 out of 5 stars,Not good like other phones of xiaomi.,mobile phone screen issue completely black wall paper black background theres permanent white dot like screen defective screen requested replacement soon device replaced although device preety average ram management goodgo snapdragon rather mediatekpubg lags sometimes medium settings theres ton preloaded apps apps cannot uninstallthere several options market xiaomi sochoose device wisely,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",0.036111111111111115
37,Surya K.,4.0 out of 5 stars,Everything nice but only body vibration problem due to plastic back,nice phone smooth performance charge service decent screen quality superb sound ok body vibration issue speaker mode time calling body vibration present notification light overall decent performance price phone support 18 watt fast charge charger support 225 watt,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",0.3484848484848485
38,Siddhanth Reddy,5.0 out of 5 stars,Good phone..,totally impressed built looks 13k thought getting realme 6i stocks barely lastso decided get phone phone great smooth gaming experience also good good g90tg85 decent processor great daily life performanceif 12k budget go itor 13krealme 6i 14k go poco m2 scarlet red looks stunning,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",0.4651515151515152
39,Rakesh kumar,1.0 out of 5 stars,Pathetic service by Amazon and worst quality mobile,worst mobile ordered mobile august 03 received 22nd looking mobile display good switched working even though tried charge charging completely dead power mobilei received defect piece try return mobile nobody coming pickup amazon refund optionbuying mobile amazon worst decisionso multiple follow ups someone amazon picked phone return updated yet app communication updated amazon called amazon customer service care like woke sleepmooning asked wait hold never came back talk felt strange call disconnectedits strange behavior amazon regular nd authorized customer amazon since years,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",-0.17777777777777778
